assetOR,asset_id,idModulo,titulo,unidad,moduloOR
136233,168893,669653,Desafío: Los seres vivos,CN_06_04_CO,628226
135976,168945,669660,Desafío: El cuerpo humano,CN_06_05_CO,628175
137192,169032,669679,Desafío: La estructura de la materia,CN_06_10_CO,628553
137541,169096,669690,Desafío: La electricidad,CN_06_12_CO,628651
138102,169185,669699,Desafío: La Tierra en el sistema solar,CN_06_13_CO,628782
136179,169247,669707,Desafío: El reino animal: animales vertebrados,CN_07_01_CO,628223
135811,169327,669722,Desafío: El aparato excretor,CN_07_04_CO,628166
135940,169395,669732,Desafío: El aparato circulatorio,CN_07_05_CO,628173
135788,169460,669743,Desafío: El medio ambiente,CN_07_08_CO,628161
136124,169543,669761,Desafío: Las rocas y los minerales,CN_07_12_CO,628220
136306,169595,669765,Desafío: El universo y el sistema solar,CN_07_12_CO,628230
136814,169695,669788,Desafío: El reino de las plantas,CN_08_04_CO,628387
136179,169743,669792,Desafío: El reino animal: animales vertebrados,CN_08_04_CO,628223
136490,169835,669807,Desafío: La herencia de los caracteres,CN_08_06_CO,628308
137767,169905,669821,Desafío: Los cambios químicos,CN_08_09_CO,628749
136490,169982,669836,Desafío: La herencia de los caracteres,CN_09_01_CO,628308
136179,170046,669849,Desafío: El reino animal: animales vertebrados,CN_09_04_CO,628223
137600,170122,669860,Desafío: Los estados de la materia,CN_09_09_CO,628656
137294,170198,669872,Desafío: La fuerza,CN_09_12_CO,628565
137294,170268,669888,Desafío: La fuerza,CN_10_04_CO,628565
137400,170348,669904,Desafío: Los elementos químicos,CN_10_11_CO,628599
136584,170430,669926,Desafío: El planeta Tierra,CS_06_07_CO,628313
138999,170474,669930,Desafío: Los sistemas de representación del espacio,CS_06_07_CO,628919
138102,170551,669937,Desafío: La Tierra en el sistema solar,CS_06_08_CO,628782
138064,170621,669950,Desafío: La civilización romana,CS_06_14_CO,628780
138471,170979,670013,Desafío: El imperialismo y la Primera Guerra Mundial,CS_09_05_CO,628859
138471,171122,670044,Desafío: El imperialismo y la Primera Guerra Mundial,CS_11_01_CO,628859
138509,171034,670023,Desafío: El mundo reciente entre los siglos XX y XXI,CS_09_07_CO,628861
135811,168912,669657,Desafío: El aparato excretor,CN_06_05_CO,628166
137104,168986,669670,Desafío: Los ecosistemas,CN_06_07_CO,628486
137641,169043,669680,Desafío: La estructura de la materia,CN_06_10_CO,628661
138121,169198,669700,Desafío: La Tierra: sistemas de representación,CN_06_13_CO,628783
135903,169266,669711,Desafío: El aparato locomotor,CN_07_02_CO,628171
135940,169338,669723,Desafío: El aparato circulatorio,CN_07_04_CO,628173
