asset_id,idModulo,titulo,unidad
168893,669653,Desafío: Los seres vivos,CN_06_04_CO
168945,669660,Desafío: El cuerpo humano,CN_06_05_CO
169032,669679,Desafío: La estructura de la materia,CN_06_10_CO
169096,669690,Desafío: La electricidad,CN_06_12_CO
169185,669699,Desafío: La Tierra en el sistema solar,CN_06_13_CO
169247,669707,Desafío: El reino animal: animales vertebrados,CN_07_01_CO
169327,669722,Desafío: El aparato excretor,CN_07_04_CO
169395,669732,Desafío: El aparato circulatorio,CN_07_05_CO
169460,669743,Desafío: El medio ambiente,CN_07_08_CO
169543,669761,Desafío: Las rocas y los minerales,CN_07_12_CO
169595,669765,Desafío: El universo y el sistema solar,CN_07_12_CO
169695,669788,Desafío: El reino de las plantas,CN_08_04_CO
169743,669792,Desafío: El reino animal: animales vertebrados,CN_08_04_CO
169835,669807,Desafío: La herencia de los caracteres,CN_08_06_CO
169905,669821,Desafío: Los cambios químicos,CN_08_09_CO
169982,669836,Desafío: La herencia de los caracteres,CN_09_01_CO
170046,669849,Desafío: El reino animal: animales vertebrados,CN_09_04_CO
170122,669860,Desafío: Los estados de la materia,CN_09_09_CO
170198,669872,Desafío: La fuerza,CN_09_12_CO
170268,669888,Desafío: La fuerza,CN_10_04_CO
170348,669904,Desafío: Los elementos químicos,CN_10_11_CO
170430,669926,Desafío: El planeta Tierra,CS_06_07_CO
170474,669930,Desafío: Los sistemas de representación del espacio,CS_06_07_CO
170551,669937,Desafío: La Tierra en el sistema solar,CS_06_08_CO
170621,669950,Desafío: La civilización romana,CS_06_14_CO
170979,670013,Desafío: El imperialismo y la Primera Guerra Mundial,CS_09_05_CO
171122,670044,Desafío: El imperialismo y la Primera Guerra Mundial,CS_11_01_CO
171034,670023,Desafío: El mundo reciente entre los siglos XX y XXI,CS_09_07_CO
168912,669657,Desafío: El aparato excretor,CN_06_05_CO
168986,669670,Desafío: Los ecosistemas,CN_06_07_CO
169043,669680,Desafío: La estructura de la materia,CN_06_10_CO
169198,669700,Desafío: La Tierra: sistemas de representación,CN_06_13_CO
169266,669711,Desafío: El aparato locomotor,CN_07_02_CO
169338,669723,Desafío: El aparato circulatorio,CN_07_04_CO
169406,669733,Desafío: El aparato digestivo: la nutrición y la alimentación,CN_07_05_CO
169471,669744,Desafío: La especie humana y el medio natural,CN_07_08_CO
169556,669762,Desafío: La geosfera,CN_07_12_CO
169632,669772,Desafío: El material genético y la biotecnología,CN_07_13_CO
169706,669789,Desafío: Los seres vivos,CN_08_04_CO
169756,669793,Desafío: El reino de las plantas,CN_08_04_CO
169852,669811,Desafío: La evolución biológica,CN_08_07_CO
169929,669828,Desafío: La electricidad,CN_08_12_CO
169999,669840,Desafío: El material genético y la biotecnología,CN_09_02_CO
170059,669850,Desafío: El reino animal: animales invertebrados,CN_09_04_CO
170145,669865,Desafío: Los estados de la materia,CN_09_10_CO
170215,669876,Desafío: Las unidades de medida,CN_10_01_CO
170291,669893,Desafío: La hidrostática,CN_10_07_CO
170359,669905,Desafío: Los elementos químicos,CN_10_11_CO
170441,669927,Desafío: El planeta Tierra,CS_06_07_CO
170564,669938,Desafío: La Tierra: sistemas de representación,CS_06_08_CO
170646,669955,Desafío: La Alta Edad Media (siglos V-XI),CS_07_01_CO
171184,670055,Desafío: El medio ambiente,CS_11_07_CO
170940,670007,Desafío: El imperialismo y la Primera Guerra Mundial,CS_09_02_CO
170990,670014,Desafío: El período de entreguerras,CS_09_05_CO
171133,670045,Desafío: El período de entreguerras,CS_11_01_CO
168882,669652,Desafío: Los seres vivos,CN_06_04_CO
168934,669659,Desafío: El aparato digestivo: la nutrición y la alimentación,CN_06_05_CO
169009,669672,Desafío: Los ecosistemas,CN_06_07_CO
169083,669689,Desafío: La electricidad,CN_06_12_CO
169234,669706,Desafío: El reino animal: funciones,CN_07_01_CO
169308,669718,Desafío: El reino animal: animales vertebrados,CN_07_03_CO
169384,669731,Desafío: El aparato excretor,CN_07_05_CO
169442,669739,Desafío: El universo y el sistema solar,CN_07_06_CO
169518,669756,Desafío: La fuerza y la presión,CN_07_11_CO
169582,669764,Desafío: La atmósfera,CN_07_12_CO
169672,669781,Desafío: La coordinación: los sistemas nervioso y endocrino,CN_08_02_CO
169730,669791,Desafío: El reino animal: funciones,CN_08_04_CO
169800,669800,Desafío: La reproducción y la sexualidad,CN_08_05_CO
169886,669817,Desafío: La población en el mundo,CN_08_08_CO
169953,669830,Desafío: La electricidad,CN_08_12_CO
