Nombre recurso;LOID;ID;Página;Tipo;Enlace;Texto principal;Texto adicional
Desafío: La materia y los materiales;MN_3C_27_LM_Recurso300;131747;Escoge tu camino;Lista;;<em>Los elementos más esenciales</em>;(El átomo y la tabla periódica)
Desafío: La materia y los materiales;MN_3C_27_LM_Recurso300;131747;Escoge tu camino;Lista;;<em>Materiales bajo control</em>;(Los instrumentos de medición y las unidades)
Desafío: La materia y los materiales;MN_3C_27_LM_Recurso300;131747;Escoge tu camino;Lista;;<em>Lo que los hace diferentes </em>;(Las propiedades de la materia)
Desafío: La materia y los materiales;MN_3C_27_LM_Recurso300;131747;Escoge tu camino;Lista;;<em>Transformaciones asombrosas</em>;(Los estados de la materia)
Desafío: La materia y los materiales;MN_3C_27_LM_Recurso300;131747;Escoge tu camino;Lista;;<em>Los materiales más salvajes</em>;(Los materiales naturales de origen animal, vegetal y mineral)
Desafío: La materia y los materiales;MN_3C_27_LM_Recurso300;131747;Escoge tu camino;Lista;;<em>La fábrica de materiales</em>;(Los materiales artificiales)
Desafío: La materia y los materiales;MN_3C_27_LM_Recurso300;131747;Escoge tu camino;Enlace;http://recursostic.educacion.es/secundaria/edad/1esobiologia/1quincena1/1q1_index.htm;La materia;, secuencia didáctica de la materia y los materiales, del Proyecto cide@d, Ministerio de Educación, Cultura y Deporte.
Desafío: La materia y los materiales;MN_3C_27_LM_Recurso300;131747;Escoge tu camino;Enlace;https://es.calameo.com/read/00497932226e7d4dbcb06;Todo es cuestión de: Química;, revista con información sobre la materia y los tipos de materia, de Roel Evaristo López Chacón
Desafío: La materia y los materiales;MN_3C_27_LM_Recurso300;131747;Escoge tu camino;Enlace;https://juegosinfantiles.bosquedefantasias.com/ciencias-naturales/materia-energia/estados-materia;La materia y sus estados;, interactivo para poner en práctica los conocimientos sobre la materia y los diferentes estados, de Juegos Infantiles.
Desafío: La materia y los materiales;MN_3C_27_LM_Recurso300;131747;Escoge tu camino;Inglés;https://www.livescience.com/46506-states-of-matter.html; Matter: Definition & the Five States of Matter;, diferentes artículos para ampliar los conocimientos sobre las propiedades de la materia y los cinco estados, de Live Science.
Desafío: La materia y los materiales;MN_3C_27_LM_Recurso300;131747;Ve más allá;Lista;;<em>Entre la miel y el aceite</em>;
Desafío: La materia y los materiales;MN_3C_27_LM_Recurso300;131747;Meta;Título;;<strong>¿Serás capaz de superar la última prueba?</strong>;
Desafío: Las máquinas y los objetos;MN_3C_25_LM_Recurso310;132166;Escoge tu camino;Lista;;<em>Un punto de apoyo</em>;(las primeras máquinas simples)
Desafío: Las máquinas y los objetos;MN_3C_25_LM_Recurso310;132166;Escoge tu camino;Lista;;<em>Encendemos motores</em>;(las máquinas compuestas)
Desafío: Las máquinas y los objetos;MN_3C_25_LM_Recurso310;132166;Escoge tu camino;Lista;;<em>A picar piedra</em>;(las herramientas, su origen y evolución en la historia)
Desafío: Las máquinas y los objetos;MN_3C_25_LM_Recurso310;132166;Escoge tu camino;Lista;;<em>Mirando al futuro</em>;(influencia de las máquinas en la sanidad, la cultura y el hogar)
Desafío: Las máquinas y los objetos;MN_3C_25_LM_Recurso310;132166;Escoge tu camino;Lista;;<em>Por tierra, mar y aire</em>;(las máquinas en el sector del transporte)
Desafío: Las máquinas y los objetos;MN_3C_25_LM_Recurso310;132166;Escoge tu camino;Lista;;<em>Conectados</em>;(las tecnologías de la información y su influencia en la sociedad)
Desafío: Las máquinas y los objetos;MN_3C_25_LM_Recurso310;132166;Escoge tu camino;Enlace;https://www.inventoseinventores.com/;Asociación Club de inventores españoles;, portal de inventos e inventores.
Desafío: Las máquinas y los objetos;MN_3C_25_LM_Recurso310;132166;Escoge tu camino;Enlace;https://www.esa.int/kids/es/Aprende;Space for kids;, web del proyecto ESA Kids, de la Agencia Espacial Europea, con explicaciones sobre las máquinas que intervienen en la red de telecomunicaciones, disponible también en inglés.
